fileName,mouseNum,lever
20211115_Mouse 17_FR1 Day 4_gs,17,L
20211115_Mouse 18_FR1 Day 4_gs,18,L
20211115_Mouse 19_FR1 Day 4_gs,19,R
20211115_Mouse 20_FR1 Day 4 attempt 2_gs,20,R
20211115_Mouse 21_FR1 Day 4_gs,21,L
20211115_Mouse 22_FR1 Day 4_gs,22,L
20211115_Mouse 23_FR1 Day 4_gs,23,R
20211115_Mouse 24_FR1 Day 4_gs,24,R
20211115_Mouse 25_FR1 Day 4_gs,25,R
20211115_Mouse 26_FR1 Day 4_gs,26,R
20211115_Mouse 27_FR1 Day 4_gs,27,L
20211115_Mouse 28_FR1 Day 4_gs,28,L
20211115_Mouse 29_FR1 Day 4_gs,29,R
20211115_Mouse 30_FR1 Day 4_gs,30,R
20211115_Mouse 31_FR1 Day 4_gs,31,L
20211115_Mouse 32_FR1 Day 4_gs,32,L
20221114_Mouse 49 FR1-4_gs,49,L
20221114_Mouse 50 FR1-4_gs,50,L
20221114_Mouse 51 FR1-4_gs,51,R
20221114_Mouse 52 FR1-4_gs,52,R
20221114_Mouse 53 FR1-4_gs,53,L
20221114_Mouse 54 FR1-4_gs,54,L
20221114_Mouse 55 FR1-4_gs,55,R
20221114_Mouse 56 FR1-4_gs,56,R
20221114_Mouse 57 FR1-4_gs,57,R
20221114_Mouse 58 FR1-4_gs,58,R
20221114_Mouse 59 FR1-4_gs,59,L
20221114_Mouse 60 FR1-4_gs,60,L
20221114_Mouse 61 FR1-4_gs,61,R
20221114_Mouse 62 FR1-4_gs,62,R
20221114_Mouse 63 FR1-4_gs,63,L
20221114_Mouse 64 FR1-4_gs,64,L
Mouse 81 FR1-4_gs,81,R
Mouse 82 FR1-4_gs,82,R
Mouse 83 FR1-4_gs,83,L
Mouse 84 FR1-4_gs,84,L
Mouse 85 FR1-4_gs,85,R
Mouse 86 FR1-4_gs,86,R
Mouse 87 FR1-4_gs,87,L
Mouse 88 FR1-4_gs,88,L
Mouse 89 FR1-4_gs,89,L
Mouse 90 FR1-4_gs,90,L
Mouse 91 FR1-4_gs,91,R
Mouse 92 FR1-4_gs,92,R
Mouse 93 FR1-4_gs,93,L
Mouse 94 FR1-4_gs,94,L
Mouse 95 FR1-4_gs,95,R
Mouse 96 FR1-4_gs,96,R